Date,Price,lstm0,lstm1,lstm2,lstm3,lstm4,lstm5,lstm6,lstm7,lstm8,lstm9,lstm10,lstm11,lstm12,lstm13,lstm14,lstm15,lstm16,lstm17,lstm18,lstm19
2018-05-22,8006.0,7615.2919921875,7868.52294921875,7750.37255859375,7608.072265625,7636.30810546875,7771.36083984375,7291.81982421875,7711.42236328125,7714.0615234375,7790.55078125,7673.9072265625,7509.47314453125,7550.90771484375,7822.55322265625,7533.80810546875,7828.396484375,7747.88232421875,7556.44677734375,7764.29296875,7607.86376953125
2018-05-23,7512.3,7481.77001953125,7674.3564453125,7735.7880859375,7697.04541015625,7557.05322265625,7560.5283203125,7332.40478515625,7591.63818359375,7612.2080078125,7666.67724609375,7616.11474609375,7553.04541015625,7530.7080078125,7805.98876953125,7523.01611328125,7699.53076171875,7639.388671875,7583.7900390625,7614.59814453125,7466.1201171875
2018-05-24,7592.9,7506.33056640625,7595.8115234375,7723.767578125,7764.41162109375,7459.08447265625,7413.474609375,7350.8994140625,7647.228515625,7472.5166015625,7584.513671875,7477.4267578125,7597.765625,7514.91357421875,7777.77099609375,7517.8388671875,7589.48046875,7533.07568359375,7652.57421875,7582.70458984375,7358.03759765625
2018-05-25,7477.7,7443.2490234375,7489.306640625,7714.8095703125,7714.22509765625,7567.02734375,7417.099609375,7081.79150390625,7283.2861328125,7403.04248046875,7628.9287109375,7444.86767578125,7658.49853515625,7503.3876953125,7580.5322265625,7588.03271484375,7271.9072265625,7581.22265625,7586.61669921875,7594.49853515625,7349.53125
2018-05-26,7361.3,7459.9921875,7338.6435546875,7593.5771484375,7687.7978515625,7618.25390625,7309.08349609375,7288.1201171875,7288.939453125,7295.1884765625,7589.5029296875,7304.9716796875,7612.63134765625,7319.7451171875,7640.46337890625,7590.74951171875,7251.98486328125,7427.09130859375,7586.48388671875,7528.5029296875,7268.5751953125
2018-05-27,7366.7,7511.5830078125,7360.48388671875,7600.4677734375,7599.74609375,7594.66064453125,7290.85888671875,7209.65771484375,7286.85693359375,7348.61962890625,7528.16650390625,7250.8056640625,7518.380859375,7274.5302734375,7648.06494140625,7504.0048828125,7255.28369140625,7451.5263671875,7581.00927734375,7521.982421875,7274.32373046875
2018-05-28,7119.3,7554.14599609375,7400.05908203125,7528.1279296875,7340.9169921875,7542.61328125,7295.9716796875,7175.52978515625,7415.3173828125,7432.65966796875,7494.345703125,7381.6181640625,7444.330078125,7175.68310546875,7651.03076171875,7275.93017578125,7254.423828125,7593.2666015625,7413.63720703125,7623.36767578125,7284.42919921875
2018-05-29,7467.7,7593.52392578125,7415.77685546875,7437.82177734375,7178.5849609375,7483.40576171875,7402.63623046875,7040.8525390625,7589.486328125,7453.830078125,7464.72314453125,7456.8720703125,7256.11376953125,7073.57177734375,7675.3486328125,7089.509765625,7369.87109375,7619.6416015625,7227.0771484375,7732.6943359375,7307.05322265625
2018-05-30,7400.1,7636.890625,7441.1923828125,7385.45556640625,7023.2900390625,7466.2861328125,7554.216796875,6970.9091796875,7700.2890625,7517.69970703125,7467.98974609375,7505.59814453125,7059.90576171875,6991.1103515625,7684.849609375,6964.88720703125,7460.75537109375,7637.08349609375,7014.970703125,7833.69580078125,7385.50390625
2018-05-31,7502.6,7683.9345703125,7466.6884765625,7384.3125,6883.7724609375,7465.203125,7670.9658203125,6867.8896484375,7697.9609375,7572.572265625,7526.3564453125,7581.3525390625,6883.32568359375,6893.1923828125,7698.9755859375,6816.81494140625,7477.61376953125,7654.5185546875,6777.2587890625,7921.11962890625,7489.67578125
